node_id,bench_id,impl_id,metric,metric_type,property,value
gauss3,numa,native,bandwidth_local,speed,sum,232029.9707
gauss3,numa,native,bandwidth_local,speed,min,1288.9412
gauss3,numa,native,bandwidth_local,speed,max,3027.8254
gauss3,numa,native,bandwidth_local,speed,avg,1812.7341

gauss3,numa,native,data_volume_local,amount,sum,815.0980
gauss3,numa,native,data_volume_local,amount,min,4.5277
gauss3,numa,native,data_volume_local,amount,max,10.6367
gauss3,numa,native,data_volume_local,amount,avg,6.3680

gauss3,numa,native,bandwidth_remote,speed,sum,2123.2626
gauss3,numa,native,bandwidth_remote,speed,min,0.0177
gauss3,numa,native,bandwidth_remote,speed,max,65.7308
gauss3,numa,native,bandwidth_remote,speed,avg,16.5880

gauss3,numa,native,data_volume_remote,amount,sum,7.4589
gauss3,numa,native,data_volume_remote,amount,min,0.0001
gauss3,numa,native,data_volume_remote,amount,max,0.2309
gauss3,numa,native,data_volume_remote,amount,avg,0.0583

gauss3,numa,firsttouch,bandwidth_local,speed,sum,381029.6501
gauss3,numa,firsttouch,bandwidth_local,speed,min,2915.3545
gauss3,numa,firsttouch,bandwidth_local,speed,max,3006.6502
gauss3,numa,firsttouch,bandwidth_local,speed,avg,2976.7941

gauss3,numa,firsttouch,data_volume_local,amount,sum,598.5071
gauss3,numa,firsttouch,data_volume_local,amount,min,4.5788
gauss3,numa,firsttouch,data_volume_local,amount,max,4.7205
gauss3,numa,firsttouch,data_volume_local,amount,avg,4.6758

gauss3,numa,firsttouch,bandwidth_remote,speed,sum,29.2055
gauss3,numa,firsttouch,bandwidth_remote,speed,min,0.0402
gauss3,numa,firsttouch,bandwidth_remote,speed,max,4.3932
gauss3,numa,firsttouch,bandwidth_remote,speed,avg,0.2282

gauss3,numa,firsttouch,data_volume_remote,amount,sum,0.0450
gauss3,numa,firsttouch,data_volume_remote,amount,min,0.0001
gauss3,numa,firsttouch,data_volume_remote,amount,max,0.0069
gauss3,numa,firsttouch,data_volume_remote,amount,avg,0.0004
